Sl no,Tweets,Search key,Feeling
2083," #36: @Chowkidar Amit Satish Nagraj 🇮🇳 ed ""RT @majorgauravarya: We took one Islamic term and you got upset. You look your entire identity from us. Did we say anything? Ask Gen Bajwa…""",upset,sad
2084," #37: @Rachel Luann Strayer ed ""@MelJ_Writes Why do our negligible fears become so terrifying when you're lying awake? My students & I cleaned out our theatre shop yesterday & suddenly at 3 a.m. I'm lying awake, worried that someone is going to be upset about something we threw away. https://t.co/IJgr0lKk9x""",upset,sad
2085," #38: @Velveeta Underhound & Ruthie Fudge ed ""@LouisatheLast @cryyptorchiid Idk, but I had a dream he ate popcorn super sloppy, more sloppy than regular popcorn eating allows, and no one was upset.""",upset,sad
2086," #39: @young goon ed ""RT @anakrrz: I’m pretty upset at the fact that I’m not cinco de drunko rn""",upset,sad
2087," #40: @SouthernChick ed ""@ChatByCC @realDonaldTrump Exactly right! And, if there are no arrests in this coup attempt I'm going to be very upset! If you can do something like this and get away with it, who will go further next time?""",upset,sad
2088," #41: @Adarsh🇮🇳🔱🕉️ ed ""RT @majorgauravarya: We took one Islamic term and you got upset. You look your entire identity from us. Did we say anything? Ask Gen Bajwa…""",upset,sad
2089," #42: @RxJr. ed ""RT @KadHenga: Are you holding back something that you wanna say because tu don’t wanna upset the cool kids?""",upset,sad
2090," #43: @#deelee ed ""that mf got cuffed by a whole queer, i am upset to the highest of proportions.""",upset,sad
2091," #44: @Andrés Proaño ed ""RT @radionz: ""In the same breath you read about these ones that have lost loved ones that are finding it difficult to meet their mortgage p…""",upset,sad
2092," #45: @Pam Craine ed ""@Collister @Ashers_Official I really don't think John was Ted's son, pretty sure he'd met John's mum when John was a kid? I took it as he was just close to the mum and so upset that her son had been killed. Or even perhaps that he HAD actually grassed him up to the guy in prison after he attacked his wife.""",upset,sad
2093," #46: @rae ed ""@squintsNY I’m so upset man. I’m not okay.""",upset,sad
2094," #47: @alana ed ""IM SO UPSET ABOUT THIS https://t.co/563tnF9BZB""",upset,sad
2095," #48: @#WINNER OR NEVER 💙💙💙💙 ed ""RT @sunnysummersky_: Min-Yoon date is always:Mino teasing YoonMino being cuteMino bully YoonYoon got upsetoon got teased a lotYoon t…""",upset,sad
2096," #49: @Jessgotobed #prayforuncc ed ""i’m so upset at myself i have so much to do before my chem final on wednesday and now i have to sleep and i’ll probably wake up at like 2pm and that’s like the whole day gone""",upset,sad
2097," #50: @Rob in Tunstall ed ""@1009__________ @dan_mazhar @kickitout I was close to agreeing with you then.  He gets a lot more abuse than anyone. This is a factAnd non-blatant racism is still racism. The club probably don't won't to upset a lot of the fanbase 😞""",upset,sad
2098," #51: @gaby ex gotfã ed ""RT @danytargyryen: i feels so bad for emilia she put her entire life into daenerys and found strength in her when death came knocking at he…""",upset,sad
2099," #52: @Fonz Fresh ed ""RT @WiCnet: Jon did Ghost dirty, and we're not happy about it. https://t.co/HRs0f9Vu2e""",upset,sad
2100," #53: @*~WyldPhoenix~* ed ""RT @WiCnet: Jon did Ghost dirty, and we're not happy about it. https://t.co/HRs0f9Vu2e""",upset,sad
2101," #54: @TheSP ed ""Woke up feeling so upset and I don’t know why""",upset,sad
2102," #55: @ivan aquise ed ""RT @EW: Gwendoline Christie on Brienne’s #GameofThrones heartbreak: ""I was so upset"" https://t.co/gaBGVKM7Wi""",upset,sad
2103," #56: @REMEMBERED-ANIMALS ed ""So upsetting and depressing to read and see and it is so tempting to stop looking at these stories totallyThen I stop and think - we are the voices of these animals we have to speak and fight for them and my few minutes of upset are nothing compared to what they have to endure https://t.co/1tJPE0GvPu""",upset,sad
2104," #57: @🎭📌 SELLING TICKETS ed ""RT @jigguku: you ever think about how jimin is the first to comfort anyone when they’re upset or hurt or overwhelmed,, and jeongguk was the…""",upset,sad
2105," #58: @Ceiling Cat ed ""@Czakal >Israel pushes ""criticizing us = antisemitism"">Labour politicians criticize Israel>Media kikes dutifully manufacture ""Labour antisemitism crisis"">Get upset when John Prescott refuses to cuck https://t.co/NqcAEQnKsU""",upset,sad
2106," #59: @Captain Breaksteel ed ""RT @gameofsnakes: i still have some faith in jaime to turn things around but right now i’m just so upset for brienne :(""",upset,sad
2107," #60: @tinytachyon ed ""@lauratmorah they didn’t, but presumably being reminded that they’re a baby and that crying loudly and being upset by new spaces is a normal experience for a baby to have made them feel a lot less guilty about things and was helpful in the long run""",upset,sad
2108," #61: @Ceeeeeej🙅👑 ed ""RT @neiljedcastro: Dear you, Your failures will never define who you are. Cry and be upset, but when it feels better, get up and continue…""",upset,sad
2109," #62: @•knj.ksj• ed ""@soojinsmoon I’m also upset, but that’s quite a lot of songs for a single concert...""",upset,sad
2110," #63: @Lyndsay ed ""@gwar At the observatory? And my white shirt came clean after one wash, I was very upset.""",upset,sad
2111," #64: @a ed ""RT @dprnct: im honestly so upset i dont think ive been so upset abt smth on twitter before. the way that nct has been so interactive this t…""",upset,sad
2112," #65: @Michael Laverty ed ""@dccc I'm a little upset that after 40 yrs of trickle down policy we are still nowhere . Yes the GOP is the most vile horrible party on earth granted but they hardly try to hide it . The DCCC  lost the ability to serve the greater good because they are to busy serving Wall street  !""",upset,sad
2113," #66: @仙道 #アルビロス ed ""今日は、Xmasプレゼント当たってから行こう思いつつ、なかなか行けてなかった、up set様へ行きました～😆🙌バスケにハマってから服の路線変更したので旦那もかなり気に入った様、、！常連になる予感😏✨またお願いしまーす！🙇‍♀️@upset_street10""",upset,sad
2114," #67: @j. ed ""I know ghost is a fictional pet but I’m genuinely upset #GameOfThrones""",upset,sad
2115," #68: @Uylka 🌸☁️ ed ""RT @deejayrupp: @ColeCarrigann Dick move, yes. You got water spilt on you. You were upset. Nothing to do with your sexuality. Instead of ta…""",upset,sad
2116," #69: @Abhishek ed ""RT @MishraSuccess: @TreeboHotels @TreeboHotels  now once again new problem generated.. I contact Hotel Mayurr, mousuriee for confirmation s…""",upset,sad
2117," #70: @out of context mustafi ed ""RT @Matt5cott: Trust: Tuchel and all the others would be no better. Not because they’re bad but because the task is really, really hard. Th…""",upset,sad
2118," #71: @the baseball that killed changmin ed ""im upset as fuck but i love him so much he makes me smile even when im sad 💘💞💓💗💖💕 https://t.co/voCFQ37fqR""",upset,sad
2119," #72: @Human B53-T73A ed ""Wtf is wrong with me, I had a dream which was literally just to punish myself mentally like fuck me im actually really upset""",upset,sad
2120," #73: @Faith (Hazy) ed ""@ReggaOG @SirenMika Good questions. Another thing I’m upset about, they direwolves have always been disrespected and I feel like letting Ghost go was sooo cheap. And if Cersei is anything like Cersei she would have murdered Dany and her 10 unsullied on the spot before they walked away""",upset,sad
2121," #1: @Equinox ed ""RT @official_japhy: @akaay__ ""I will make sure you meet an end so cruel the devil will weep ""Klaus""",weep,sad
2122," #2: @ANATHEMA ed ""RT @official_japhy: @akaay__ ""I will make sure you meet an end so cruel the devil will weep ""Klaus""",weep,sad
2123," #3: @David Bonner ed ""RT @XpCoulson: Dear everyone making the backhanded “grieving” s about RHE:  Now is not the time. A woman is dead. Children have lost t…""",weep,sad
2124," #4: @V Iyer ed ""The angels of painting, sculpting and architecture weep for #Michelangelo, whose accomplishments haven’t been surpassed to this day. #florence https://t.co/Kx6wstsTI1""",weep,sad
2125," #5: @Kerr ed ""RT @official_japhy: @akaay__ ""I will make sure you meet an end so cruel the devil will weep ""Klaus""",weep,sad
2126," #6: @sam ed ""RT @official_japhy: @akaay__ ""I will make sure you meet an end so cruel the devil will weep ""Klaus""",weep,sad
2127," #7: @Ａ ed ""@tears_weep これは俺も笑ったわ""",weep,sad
2128," #8: @Niche Music ed ""オーストリアのシューゲイズ・ポストロックバンド MOLLY、'Weep, Gently Weep'のMVを公開 https://t.co/x6M0Q1SxZK https://t.co/ZD5TvOQnVG""",weep,sad
2129," #9: @ジーリオ(ええケツ) ed ""@d1Kq1C6uc48ee8n @c_weep @yamichinn @marumaru300030 お""",weep,sad
2130," #10: @bearZ ed ""Men don't cry, they weep""",weep,sad
2131," #11: @Kallu ed ""RT @somiyasan: Forehead, Roll Your Eyes, and Weep for the Future.      https://t.co/K7nDSYZHZu""",weep,sad
2132," #12: @Ayebatari Wills ed ""The last time I asked about these MDAs, I was told there are about 700 MDAs at the FG level.See, 1/2 of them do not even know their mandates. Let us not even bring the obvious issue of duplicity of duties/responsibilities.If we bring FOI issue up, we will weep and wail https://t.co/ij0cdwuou6""",weep,sad
2133," #13: @Som ed ""RT @somiyasan: Forehead, Roll Your Eyes, and Weep for the Future.      https://t.co/K7nDSYZHZu""",weep,sad
2134," #14: @Bald_Jiggah👑 ed ""@ishaqmamii @demithacreator 😂😂😂😂😂how can the devil weep?😂""",weep,sad
2135," #15: @Lisa Bataran ed ""“Those who do not weep, do not see.” ~ Victor Hugo, Les Misérables""",weep,sad
2136," #16: @Mrs Brewer ed ""This is great. Read the comments and weep😂 https://t.co/IKZKxagOjL""",weep,sad
2137," #17: @Better Brexit Poet ed ""@OtherProfGreen Before you weep for me, ignore any s on Wednesday referring to being at a cricket match.""",weep,sad
2138," #18: @ハッカ ed ""@c_weep ミリオン再生される動画を投稿し、毎晩2000人近くの視聴者を集める男軍師ミノル(はぁと)""",weep,sad
2139," #19: @Dev Kumar ed ""RT @somiyasan: Forehead, Roll Your Eyes, and Weep for the Future.      https://t.co/K7nDSYZHZu""",weep,sad
2140," #20: @marnie riptide ed ""@JamesCleverly @Conservatives 1993- the Canadian Conservative Party wiped out- a majority lost- and they never recovered- https://t.co/ixzyW5SAmqRead it and weep @Conservatives""",weep,sad
2141," #21: @Devendra Kumar ed ""RT @somiyasan: Forehead, Roll Your Eyes, and Weep for the Future.      https://t.co/K7nDSYZHZu""",weep,sad
2142," #22: @JaJa of PortHarcourt ed ""@Denye007 Walahi! In this instance do I weep every time I think of how our summer transfers would be. Gone are those days of big spending and huge salaries""",weep,sad
2143," #23: @𝙗𝙤𝙗𝙤𝙡𝙖 𝙛𝙤𝙬𝙤𝙨𝙚𝙧𝙚 ed ""but SARS,SACS, SAKS have a right to shoot you dead in the streets while captured boko-haram men are been arrested, reformed & giving a job in the Nigerian Army, I weep for Nigeria, no past, no presence, 😊 No future.""",weep,sad
2144," #24: @That sabiny guy ed """"I will make sure you meet an end so cruel the devil will weep""what is your favourite Klaus quote? https://t.co/dIXejA3nZX""",weep,sad
2145," #25: @Sanaiya ed ""RT @somiyasan: Forehead, Roll Your Eyes, and Weep for the Future.      https://t.co/K7nDSYZHZu""",weep,sad
2146," #26: @草薙　素子 ed ""We weep for the blood of a bird, but not for the blood of a fish. Blessed are those with a voice.""",weep,sad
2147," #27: @ハッカ ed ""@c_weep 350人に見られるの緊張したのでさすがにもう勘弁も""",weep,sad
2148," #28: @sasha ed ""I will weep alone while watching end gameJust u watch https://t.co/EEYQAZSu02""",weep,sad
2149," #29: @CHUDI||Ezeabata📛 ed ""@FCBarcelona I weep for liverpool....""",weep,sad
2150," #30: @Willy Shakes ed ""Woo't weep? woo't fight? woo't fast? woo't tear thyself?""",weep,sad
2151," #31: @ピクニンさん🥕 ed ""@c_weep @yamichinn @marumaru300030 え""",weep,sad
2152," #32: @Beth Woodard ed ""@TimSchraeder We walk and hug and weep together. #becauseofRHE""",weep,sad
2153," #33: @Don Akchin ed ""RT @ejdawsonauthor: Writing isnt about selling a book.To write is to pull slivers of your soul from your heart and pin them to page with…""",weep,sad
2154," #34: @💧💦Just Judith'n'ALF ed ""RT @AustralisTerry: @louiseEcadell @PRIME7Tamworth @UNSW For all the sold-out #mine #hydrologists out there- READ THIS AND WEEPhere’s the…""",weep,sad
2155," #35: @tash. ed ""@CandyChills Good dick will make even the strongest woman weep😂😂💀we know the feeling. 💔he’s even telling her all the bad things he’s done and she just like “and so”😂😂🤦🏽‍♀️""",weep,sad
2156," #36: @modelcitizen72 ed ""@jay_murph2099 @Phil_Lewis_ It's like, ""I bet I can make you weep for five minutes."" ""No way.""(Seven minutes later.)""Oh. Oh you monster. You win.""""",weep,sad
2157," #37: @El Niño ed ""Who have we offended to deserve these leaders. I weep for my Africa https://t.co/K0pGvFoWPs""",weep,sad
2158," #38: @Albanian History ed ""RT @AlbHistory: ""Weep heroes! Weep with all your tears!""A famous folk song of the Arbëresh, a lament dedicated to a great hero, possibly…""",weep,sad
2159," #39: @Eve Jay ✨18/40 🥒👩🏼‍💻 ed ""The original space elf and I have recorded the finale. Listen (in 🇩🇪 ) and weep, if you did not send us your sound bite with your opinion on #StarTrekDiscovery season 2. 😬 It’s been a pleasure, Captain! https://t.co/Kn41elHiYG""",weep,sad
2160," #40: @krys。 ed ""make me weep, why don’t you. https://t.co/qKIYmxPyIZ""",weep,sad
2161," #41: @Michael ed ""RT @ibrahimado__: When I ed that Helicopters now escorts Train from Abuja to Kaduna, some people said I am lying. Oyya watch this Vide…""",weep,sad
2162," #42: @🌸 • ᴛ ʀ ᴀ s ʜ ʟ ᴇ ʏ ed ""Years later and Cloud Strife literally still makes me fragile heart weep and flutter.I guess a girl never truly ever stops loving their first ever husbando.""",weep,sad
2163," #43: @Soli ed ""RT @Dxski_: I wanna weep. See the tears. Ohhh Tormund 😭😭😭😭 https://t.co/cZynAOQlAL""",weep,sad
2164," #1: @Hopewell ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2165," #2: @•den ❁ | alt er love ed ""RT @OfficialWith1D2: UPDATE || “That’s tragic... no.” — Louis on bringing back suspenders""",tragic,sad
2166," #3: @lusitomakwasha ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2167," #4: @Linda Bendle ed ""@JTD_Glasgow Completely tragic and so wrong. Life just shouldn’t be like this 😔""",tragic,sad
2168," #5: @tamari  billix ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2169," #6: @A ed ""RT @fundtheevil: James Charles blocked fans that were complaining about prices for his tickets but pop punk bands will literally put you on…""",tragic,sad
2170," #7: @BabsMidd ed ""RT @fireboyle: Someone shared a really fantastic speech and it reminded me of this from last March. This is an absolute masterclass in the…""",tragic,sad
2171," #8: @Javier Arrondo ed ""RT @PowerJet: The PowerJet Team is deeply saddened and expresses its sincere condolences to those affected by the tragic accident of the fl…""",tragic,sad
2172," #9: @Autumn Grace ♡ ❋ ed ""RT @heavenbrat: another day gone by without me getting kissed, tragic""",tragic,sad
2173," #10: @Open Parly ZW ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2174," #11: @هاجر ed ""RT @heavenbrat: another day gone by without me getting kissed, tragic""",tragic,sad
2175," #12: @T.y Olorunsola ed ""@Rsarpong1 @Fear_Bavaria peak football einsteins era. Was a tragic period, almost every young talent was hyped to high heavens in that 2017ish period""",tragic,sad
2176," #13: @MANDAH COLLINS ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2177," #14: @why did you pull me from the river ed ""RT @miri2110: Louis: calls suspenders a ""fashion error"" and ""tragic""Harry, an intellectual in the year 2k19: https://t.co/7sTkBa71NG""",tragic,sad
2178," #15: @yangrui ed ""I would like recommend Sad Beautiful Tragic by my favourite song writer Taylor Swift, and she cooperated with BOB, like Breathe""",tragic,sad
2179," #16: @melisa ncube ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2180," #17: @Yury ed ""RT @NYScanner: TRAGIC UPDATE: A 4-year-old child was burned alive in a car in Queens at 154-09 Baisley Blvd. The vehicle was involved in an…""",tragic,sad
2181," #18: @walking at night ed ""I really hope the leaks aren’t true and Dany has a happy ending. She doesn’t even need to sit on the iron throne let her just kill cercei and then go to essos and live in peace. Her ending (according to the leaks) is so so so tragic. There’s nothing even remotely bittersweet -""",tragic,sad
2182," #19: @Cabaret Boom Boom ed ""RT @IMcMillan: ILKLEY MOOR BAHT MACBETHWhen shall we two meet againBaht our hats in Yorkshire rainMe and my love Mary Jane?Nivver! Co…"" #20: @jake g’s bitch ed ""i cant believe michael clifford is really still walking around with a trim THAT tragic do better""",tragic,sad
2183," #21: @AMANDA MANJERA ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2184," #22: @Giselle Phillips ed ""@TheMixedUpBrit This is phenomenal. So tragic. Such imagery. 👏👏""",tragic,sad
2185," #23: @제 ed ""@krthingy Tragic couple 😔""",tragic,sad
2186," #24: @Lord Snoutintrough #FBPE #ultraremainer ed ""RT @ElenaInLimbo: Couldn’t agree more with @nickynoo007.  What D Davis wrote is beyond ridiculous and tragic too from a politician. https:/…""",tragic,sad
2187," #25: @Ian Turner ed ""@PLumsden To this day I have a soft spot for Ipswich. Tragic they came bottom of the Championship - and Norwich being promoted! 😢""",tragic,sad
2188," #26: @Gerald Maguranyanga SPORTING AGENT ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2189," #27: @Tatenda ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2190," #28: @Ian Taylor ed ""RT @Madz_Grant: If it wasn’t so tragic, it’d be amusing how many Tory MPs share the PM’s delusion that ending FoM, keeping customs union, s…""",tragic,sad
2191," #29: @GrumpyByName #2706 on the list ed ""@Susan_Rae1 Tragic.""",tragic,sad
2192," #30: @Lonnilisha ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2193," #31: @Aaron Joshua ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2194," #32: @Andrew McGarry ed ""@PatsKarvelas First election night watched: 1977 Irish election (I was 5); first state vote: NSW election 1991; first federal vote: 1993 #ILikeElections""",tragic,sad
2195," #33: @Tobiloba ed ""@DrOlufunmilayo Tragic😥😥""",tragic,sad
2196," #34: @Jim Slaven ed ""Tragic. By promoting daft conspiracies these sorts of interventions are actually promoting Farage and his political project.The failure of the political class -journalists included- is exacerbating this already dangerous crisis. https://t.co/2pX1TZd1zp""",tragic,sad
2197," #35: @Karen 💫 ed ""RT @CaroleBruce17: This is tragic and so, so wrong. What will it take? So far nothing has made a dent in the suffering of the #MillionsMiss…""",tragic,sad
2198," #36: @retiredrebel ed ""RT @GaryAlejano: 66 Chinese workers are working on the Chico River Irrigation Project, 66 jobs that should have been for Filipinos. This pr…""",tragic,sad
2199," #37: @George Pasiri ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2200," #38: @🦄 ed ""@Biebercome2me Can't imagine being that pressed to willingly fake dms like they are. It's tragic and shows the kind of awfulness they harbor""",tragic,sad
2201," #39: @genie: zor ed ""@shinwxn 10,,tragic""",tragic,sad
2202," #40: @literatura aplicada ed ""RT @cassiomaia_1: https://t.co/e3sBC9ytsNThis book chronicles striking events of deep-sea shipwreck. tragic events that led to the loss of…""",tragic,sad
2203," #41: @molline smill ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2204," #42: @Grey | ⎊ ⍟ ⧗ ed ""You people just watch movies so you can run here to type thread. Tragic. https://t.co/e0nPtQkT2q""",tragic,sad
2205," #43: @Shinwary khan ed ""Sad to hear of the tragic loss of lives in the plane crash in Moscow. Deep condolences to the government, people and the bereaved families of the victims in.""",tragic,sad
2206," #44: @Luisa ed ""RT @heavenbrat: another day gone by without me getting kissed, tragic""",tragic,sad
2207," #45: @Viviann Bii ed ""RT @switchtvkenya: 41 people met their tragic death as a Russian passenger plane burst into flames upon an emergency landing in Moscow. htt…""",tragic,sad
2208," #46: @Sam Turner ed ""This is definitely the biggest thing I've had the honour of being a part of and it's a tragic, dire and compelling story to have to tell.... https://t.co/Jspm7CUSWF""",tragic,sad
2209," #47: @Jacqueline Foster ed ""RT @jfostermep: @SkyNews @BBCNews Tragic air accident in Russia 🇷🇺 resulting in an horrendous loss of life .. TV ‘presenters’ commenting on…""",tragic,sad
2210," #48: @a thousand eyes and one ed ""D&D: Look, I made an anti-hero!Every single reader: Fucked up the perfectly good character development of a tragic hero is what you did.""",tragic,sad
2211," #49: @Cde Never Maswerasei 🇿🇼 ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2212," #50: @Steph Clarke ed ""If you wanna hear something truly tragic I was today years old when I was informed “I love you 3000” was from said movie... -_-""",tragic,sad
2213," #51: @Jacqueline Foster ed ""@SkyNews @BBCNews Tragic air accident in Russia 🇷🇺 resulting in an horrendous loss of life .. TV ‘presenters’ commenting on causes of ‘could have/should have etc etc 😳and have absolutely no idea what they’re talking about. At least get an ‘expert’ otherwise say nothing !""",tragic,sad
2214," #52: @Mirry Utsanana ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2215," #53: @A D É K Ú N L É. ⭕️ Inspires ed ""People don’t care about your behavior now because of your current situation. But the moment they feel you’re elevating they tend to grumble on the fact that you’re either fake, pompous or proud. Tragic!""",tragic,sad
2216," #54: @Jones Musara ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2217," #55: @Diana ed ""@YaniMeyer1 Unbelievable hate! It is so tragic when it comes to that sort of behaviour. I guess it lives with you from then on, Yani!""",tragic,sad
2218," #56: @Weldon N Matambo ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2219," #57: @Hissein Oumar Seidou ed ""RT @margotwallstrom: Alarming escalation in Gaza and southern Israel. Tragic loss of lives. Full support for UN & EU calls for de-escalatio…""",tragic,sad
2220," #58: @inno mamo ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2221," #59: @Manick Govinda ed ""RT @JustineBrian: This is doing the rounds, understandably to much amusement. However, its quite tragic - this is what happens when you are…""",tragic,sad
2222," #60: @ゲーテ&ワーグナー支持者 ed ""RT @IDF: Yesterday, Palestinian weapons caused the tragic death of a mother in Gaza and her baby. Hamas blamed Israel. Journalists amplifie…""",tragic,sad
2223," #61: @freeman_oi ed ""RT @GaryAlejano: 66 Chinese workers are working on the Chico River Irrigation Project, 66 jobs that should have been for Filipinos. This pr…""",tragic,sad
2224," #62: @Olivia Fitch ed ""RT @CaroleBruce17: This is tragic and so, so wrong. What will it take? So far nothing has made a dent in the suffering of the #MillionsMiss…""",tragic,sad
2225," #63: @Audrey Maningi ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2226," #64: @BridgetZihwa ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2227," #65: @strawberry 🍓 ed ""RT @ParkJhenMin: ~~~~~🌙 ~~~~~~We were so beautifulWe were so tragicNo other magiccould ever compare~~~~~🌙 ~~~~~~My moon, my starM…""",tragic,sad
2228," #66: @linette chikoto ed ""RT @edmnangagwa: After the tragic fire in July at the Matapi Flats in Mbare, we promised the residents that their homes would be renovated…""",tragic,sad
2229," #67: @StreetLevelPundit ed ""RT @siberian_times: Update on the tragic Moscow to Murmansk Aeroflot flight - 41 people died, including two children. An American citizen i…""",tragic,sad
2230," #68: @Amanda ed ""RT @Hephaestus7: The DWP ministers must be held accountable for deliberately fueling and willfully ignoring an epidemic of suicides and att…""",tragic,sad
2231," #69: @Smooth 🍁 ed ""RT @siberian_times: Update on the tragic Moscow to Murmansk Aeroflot flight - 41 people died, including two children. An American citizen i…""",tragic,sad
2232," #70: @ғ𝓎ᴇ | #GeniusBaekhyunDay ed ""RT @stevetonyx: move over titantic, stevetony: endgame is now the greatest most tragic love story of all time https://t.co/ZqO2h82GBs""",tragic,sad
2233," #71: @Xeus ed ""Tragic sight as I expected.. It seems some ghosts might come out. Who Dared to do such a Thing?""",tragic,sad
2234," #72: @Fernandes 🇬🇧🇩🇪🇵🇹 ed ""RT @swedense: The story of how a tragic death led to a constructive method for tackling racism. Your Saturday read. 👇🏾 https://t.co/tubx1y8…""",tragic,sad
2235," #73: @Charlene Fairchild ed ""RT @siberian_times: Update on the tragic Moscow to Murmansk Aeroflot flight - 41 people died, including two children. An American citizen i…""",tragic,sad
2236," #74: @KSN Miyagi MA ed ""@IAWPInfo Tragic. Sending thoughts and commiserations to her family, friends and colleagues.""",tragic,sad
2237," #1: @Anita ed ""@post_liberal Thank, I do like it :)""",glum,sad
2238," #2: @Post-liberal Bot ed ""Did you like the fact that I included the Jesuits this time? @glum_bucket dont want them to feel left out.""",glum,sad
2239," #3: @Pratik Mohapatra ed ""RT @Ltd_To_Two: There is a world out there filled with glum faces, people who have forgotten how to smile and you're the one who can change…""",glum,sad
2240," #4: @glum bot ed ""This is a good-ass profile.""",glum,sad
2241," #5: @Dom وليد ed ""RT @Ltd_To_Two: There is a world out there filled with glum faces, people who have forgotten how to smile and you're the one who can change…""",glum,sad
2242," #6: @Pamela Sutherland ed ""There is a world out there filled with glum faces, people who have forgotten how to smile and you're the one who can change that. Just your smile and few kind words is all it takes, to make at least one smile back :-)#PSMyWords""",glum,sad
2243," #7: @IsaAkoSaSampu ᴹᵃᶦⁿᵉ ed ""RT @SMagic24: Update my jungle This waiting to re plant Using my empty plastic milk bottlesHay weather is not helping😫😩🥺It’s so glum da…""",glum,sad
2244," #8: @팀플은 죄악 다 없어져라!!!!🐾라슈🐾 ed ""@glum_as 앜ㅋㅋㅋㅋㅋ 헉 그러면 글루미가 라슈 진짜 줄건가바~~(양심어디) ㅋㅋㅋㅋㅋ헉 나 오늘 일요일인줄알앗어 너 알바간줄.....ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오늘 집에서 놀았오~~??""",glum,sad
2245," #9: @Angela J ed ""RT @theaqil_: Words To Use Instead Of Sad",glum,sad
2246," #10: @💕𝓑𝓪𝓫𝔂 𝓐𝓷𝓰𝓮𝓵 석진 💕 ed ""RT @odetoRM: “take out your cellphones. hide your army bombs. hide them all. i love the smartphones. technology is great these days” JDKSBK…""",glum,sad
2247," #11: @artandthing ed ""@GurkaynakGonenc Cevapları gayet güzel maaşallah...Bize bira ipucu verebilir misiniz 6,5yaş ve 16aylık kişi ğlum var""",glum,sad
2248," #12: @Amit Kumar ed ""RT @richards27: Most of panel look glum that poll results showing ALP lead. How about @TheAusinstitute rather than IPA next week? #TheFront…""",glum,sad
2249," #13: @▸▹ぶっ樽ん$18 ed ""@__glum__ ありがと……！うれしうれし…！""",glum,sad
2250," #14: @RussDunlop ed ""@SupportOurLefty Good call Sir Lefty. I note the BBC were just as biased in those days. Dimbleby looking very glum at the prospect of a Thatcher government""",glum,sad
2251," #15: @Random loli bot ed ""glum loli""",glum,sad
2252," #16: @i... dong? ed ""Count your bones one by one. Lie awake at night. Underground, boxed and glum, left you there for rot. All my fears are overgrown, will someo""",glum,sad
2253," #17: @Anita ed ""@jmendelsohn77 @post_liberal Me too, another good reason to resurrect it - it makes Jesuits look vaguely competent and Jews can have a well deserved break.""",glum,sad
2254," #18: @James Mendelsohn ed ""@glum_bucket @post_liberal TBH I prefer it when people blame the Jesuits than to when they blame the Jews""",glum,sad
2255," #19: @Daniel Amich ed ""RT @dcexaminer: The U.S. jobless rate dropped to the lowest point in 50 years. Democrats could not have been more glum about it.https://…""",glum,sad
