,usuario,texto,depressao,texto_traduzido
309,jorginph,suquinho de laranja com e sem gengibre da vó dela 😋😋😋😋😋😋😋😋😋😋😋 https://t.co/weXhDZovj4,0,orange juice with and without ginger from her grandmother 😋😋😋😋😋😋😋😋😋😋😋 https://t.co/weXhDZovj4
310,rxgerguedes,banhei https://t.co/LmlDW6TalA,0,I bathed https://t.co/LmlDW6TalA
311,marquesdana1,sonho tão real que eu acordo desorientada sem saber se aconteceu ou não kk,0,dream so real that I wake up disoriented without knowing if it happened or not kk
312,maldcarol,"meu primo de 14 anos diagnosticado com ansiedade e depressão, perdi o chão agora",1,"my 14 year old cousin diagnosed with anxiety and depression, I lost ground now"
313,muriloeferreira,"Dando nota para meus apelidos:

Liroliro: 10/10 eu amoo 
Muliro: 8/10 gosto gosto
Lilo 5/10 só minha família me chama 
Mirtilo 100000/10 super amo, sério 
Leãozinho: 9/10 acho fofo https://t.co/g7kyICdhS3",1,"Noting my nicknames:

Liroliro: 10/10 I love
Muliro: 8/10 taste like taste
Lilo 5/10 only my family calls me
Blueberry 100000/10 super love, seriously
Little lion: 9/10 I think it's cute https://t.co/g7kyICdhS3"
314,abiiior,"acordei mais ou menos, me olhei no espelho e bateu a tristeza",0,"I woke up more or less, I looked in the mirror and hit the sadness"
315,almeidaGui0114,Tamo lascado sem o Galhardo,1,We are chipped without Galhardo
316,38_rodry,E nem eu vi 🤣🤣🤣 Tamos juntos #FechadoComBolsonaro 🇧🇷🇧🇷👊 https://t.co/nBa6KOJwqB,0,And not even I saw 🤣🤣🤣 We are together #FechadoComBolsonaro 🇧🇷🇧🇷👊 https://t.co/nBa6KOJwqB
317,ccbutterby,Estou puta e triste,0,I'm pissed and sad
318,kaguriri,as pessoas não tem um pingo de noção ne. fazem de tudo pra atrapalhar a vida dos outros. enquanto eu me esforço ao máximo pra não atrapalhar. outros parecem que fazem de propósito,1,people don’t have an ounce of notion. they do everything to disrupt the lives of others. while I try my best not to get in the way. others seem to do it on purpose
319,rosastairrs,com fome com sono e irritada,0,hungry sleepy and angry
320,martsjae,vi um compilado de 7min do treasure se abraçando agora estou extremamente triste e boiola nao falem cmg,0,I saw a compilation of 7min of the treasure embracing now I am extremely sad and bullock don't speak cmg
321,Skyeccho_,eu tive a mesma reação mas eu fiquei 🥺😭😭😭 no final https://t.co/qwZdTgOCXj,1,I had the same reaction but I stayed at the end https://t.co/qwZdTgOCXj
322,mvtxsl,"quase 1h esperando a porra do lanche pra vim uma merda, comendo na força do ódio",0,"almost 1h waiting for the fucking snack to come shit, eating out of hate"
323,trtrtrg_,Sim https://t.co/p1plsVpbVL,0,Yes https://t.co/p1plsVpbVL
324,muriloeferreira,"Eu amo samba de uma forma inexplicável, me traz uma sensação tão boa!!",1,"I love samba in an inexplicable way, it makes me feel so good !!"
325,W0NYOUNGlRL,tinha uma srgnator que eu seguia na conta antiga mas eu nao lembro o @ dela😫,0,there was a srgnator that I followed in the old account but I don't remember @ her @
326,Menina7Virtuosa,Jericó tem sido barreira na tua vida né? Mas é hoje que Deus vai jogar ela por terra e você passará por cima de posse de vitória!,0,"Jericho has been a barrier in your life, right? But it is today that God is going to throw it down and you will pass over possession of victory!"
327,onlyparrillax,WOMAN WOMAN LALALALALALALA WO WOMAN WOMAN,1,WOMAN WOMEN LALALALALALALA WO WOMAN WOMAN
328,puntztantz,se é verdade que o Conceição rejeitou o regresso do Quaresma...,0,if it is true that Conceição rejected the return of Lent ...
329,kaguriri,"eu fiz um exame onde fui diagnosticado com depressão e ansiedade o médico me receitou remédios e meu pai me disse “você é muito novo pra tomar esses remédios você só precisa de um suco de maracujá” 

 https://t.co/fqzas1DwWT",1,"I did an exam where I was diagnosed with depression and anxiety, the doctor prescribed medicine for me and my father said to me ""you are too young to take these medicines you just need a passion fruit juice""

 https://t.co/fqzas1DwWT"
330,tarjapretaporra,"Minha libido está tão alta que quando da Match no Tinder a primeira coisa que olho é a distância.
Está a mais de 2Km de casa já nem olho.",1,"My libido is so high that when I start Match on Tinder the first thing I look at is distance.
It is more than 2 km from home, I don't even look."
331,ncpvnk,Perdi a bolinha do piercing na cama do heitorrrrrr aaaaaa,1,I lost the ball of piercing in the bed of the heitorrrrrr aaaaaa
332,tarjapretaporra,"Eu desisto de fazer a filhota andar com o par de meia certo.
Não dá.....as meias somem fogem e agora é um pé com cada cor e ponto.",1,"I give up on making the puppy walk with the right pair of socks.
I can't ..... the socks disappear and now it's a foot with every color and stitch."
333,oliveiira_jeann,"Coe, achei que fritar ovo era só jogar óleo e o ovasso na panela que o negócio já ficaria pampa 

Tem que ter mecânica p fritar ovo, ou eu sou mto burro 

Eu voto na segunda opção",0,"Coe, I thought that frying an egg was just pouring oil and the egg into the pan that the business would already be pampa

You have to have mechanics to fry an egg, or I'm too dumb

I vote for the second option"
334,mingyubabie,que delícia comer e sentir tudo com gosto de papelão eu to amando,0,what a delight to eat and feel everything with the taste of cardboard I love it
335,themracle,fã de diva pop é a pior praga que ja existiu,1,pop diva fan is the worst plague ever
336,CrazyGabiNeves,"A esquerda e a direita estão travando uma forte queda de braço. 

A esquerda mantém de pé o discurso de que devemos nos trancar. E a direita quer que as pessoas vivam normalmente. 

Tem como viver normalmente? Não.
Tem como ficar totalmente isolado? Também não",0,"The left and the right are having a strong arm wrestling.

The left keeps the speech that we should lock ourselves up. And the right wants people to live normally.

Can you live normally? Do not.
Is it possible to be totally isolated? Neither"
337,queenyyeri,Queria 150 hj :((( ninguém pra me mandar um mimo? 🥺🥺 https://t.co/PoekjqTSPX,1,I wanted 150 hj: (((nobody to send me a treat? 🥺🥺 https://t.co/PoekjqTSPX
338,SuelenSoaresss,Tô puta com Vitoria,0,I'm pissed at Victoria
339,trtrtrg_,"precisamos se cuidar desse corona gente!!!! por isso estou fazendo uma festa aqui em casa, só os mais chegados 💪🏻💪🏻",0,"we need to take care of that corona people !!!! so I'm having a party here at home, only the closest ones 💪🏻💪🏻"
340,ellieonardo,"Gasly, Raikkonen e Giovinazzi. Vivi para ver o pódio temporário mais aleatório dos últimos anos",0,"Gasly, Raikkonen and Giovinazzi. I lived to see the most random temporary podium in recent years"
341,tarjapretaporra,"Não importa o quanto eu durma.
Estou sempre exausto.",1,"It doesn't matter how much I sleep.
I'm always exhausted."
342,mvtxsl,minha vida não é o que eu posto...,0,my life is not what I post ...
343,alefrits,todos os da lista https://t.co/dUyBV9giRL,1,all of the list https://t.co/dUyBV9giRL
344,a_fckdreamers,"eu sou mt louca, mas ela me lembra a gabi rippi https://t.co/sy4LSZMNVv",0,"I'm very crazy, but she reminds me of Gabi Rippi https://t.co/sy4LSZMNVv"
345,anapaulaboz,Que jogo horrível,1,What a horrible game
346,onlyparrillax,lembrando aleatoriamente do dia que eu estava bêbada e mandei audio cantando quando você passa pro cara... sandy e junior vcs me pagam,1,randomly remembering the day I was drunk and sent an audio singing when you pass it on to the guy ... sandy and junior you guys pay me
347,martsjae,hoje tem ep do treasure studio ne gratidao 🙏,0,today has ep of treasure studio ne gratidao 🙏
348,kaguriri,mas não podia ser diferente https://t.co/D7Es1lBYF0,1,but it couldn't be different https://t.co/D7Es1lBYF0
349,Carolina_aaaaaa,Meu quarto todo esta inteligente 🥳,0,My whole room is smart 🥳
350,gombbyy,"apenas amigas 
assumia https://t.co/nhWMv6WzCW",0,"just friends
assumed https://t.co/nhWMv6WzCW"
351,sosawell7777,ah vai toma no cu,0,"oh, take it in the ass"
352,stan_stanbp,Vcs tem alguma marca de nascença?,0,Do you have any birthmarks?
353,wtfnatan,acho que o evento que eu devo tá mais ansioso eh pro dia em que a cardi b pisar no brasil https://t.co/j30BV18IR9,1,I think the event I should be more anxious eh for the day when cardi b step in Brazil https://t.co/j30BV18IR9
354,ughfruit,Minha amiga é a mais talentosa e se vc discorda vc ta errado ☺️ https://t.co/SRL7ZmJwZ1,0,My friend is the most talented and if you disagree you are wrong ☺️ https://t.co/SRL7ZmJwZ1
355,emygrx,eu to tão triste... não sei se é porque estou sensível por conta da menstruação mas sei lá viu,0,I'm so sad ... I don't know if it's because I'm sensitive because of menstruation but I don't know
356,almeidaGui0114,Caiu tanta pedra aqui que pensei que tava na Cracolândia,1,So much stone fell here that I thought it was in Cracolândia
357,catscorsones,os dois lados de alexsander https://t.co/er7iy4Pbix,0,the two sides of alexsander https://t.co/er7iy4Pbix
358,villagebyun,chorando horrores com o casamento do jake e da amy eles são o casal mais lindo do mundo,0,crying horrors with the wedding of jake and amy they are the most beautiful couple in the world
359,haechanvoir,"nem sei com quem tu tá conversando, mas graças a deus tava sentindo o fedor daqui https://t.co/l0TYdkyuc9",1,"I don't even know who you're talking to, but thank God I was feeling the stench here https://t.co/l0TYdkyuc9"
360,yazzmimr,tô assistindo narcos de novo quatro anos depois ai só agora fui reparar no sotaque do wagner moura e descobri que isso realmente foi uma polêmica na época que saiu a série cara como as pessoas são chatas,0,"I'm watching narcos again four years later then I just noticed the wagner Moorish accent and I found out that this was really a controversy at the time that the series came out, how boring people are"
361,ughfruit,Gente tem um VERDE e eu nao sabia!????¿ https://t.co/EVGhUbG12V,0,People have a GREEN and I didn't know! ???? ¿https://t.co/EVGhUbG12V
362,urreagolden,devem ter tirado lindas fotos que nunca vão ser postadas pq alguns fãs dele são uns fdp,1,they must have taken beautiful photos that will never be posted because some fans of him are fdp
363,urreagolden,as norte kkkkkkkkkk https://t.co/6gZ0iqhV2p,1,the north kkkkkkkkkk https://t.co/6gZ0iqhV2p
364,srt_gomeees,"No véi quebrei esses dias tudo nu, tô morta",0,"I didn't break these days all naked, I'm dead"
365,poxaaa_ca,que sono 😣,0,what a sleep 😣
366,ggioganja,alguém q mexe c html me ajuda aqui,1,someone who moves c html help me here
367,beecIassy,eu sou mt maltratado https://t.co/WFdra8yxre,0,I am mistreated https://t.co/WFdra8yxre
368,azevedorar,the boys ta me dando ansiedade não vou ver mais,1,the boys are giving me anxiety I won't see more
369,itsgabriellis,Eu não tenho problema nenhum em comer só uma salada e frango mas porra TEMPERA ESSE NEGÓCIO parece que as pessoas só conhecem sal e nada além,1,I have no problem eating just a salad and chicken but damn it SEASONING THIS BUSINESS seems like people only know salt and nothing else
370,LaKellytita,"Um dia eu vou cansar pra valer, pq eu tô sendo forte a muito tempo",0,"One day I'll really get tired, because I've been strong for a long time"
371,KaylayneMontei1,Hoje o céu ganha mais uma estrela 💫🖤 descanse em paz tia 7/09,0,Today the sky gets another star 💫🖤 rest in peace aunt 7/09
372,ccatrasgf,caramba aue inferno de vida meu deus do ceu q mulher desgraçada,0,damn what a hell of a life my god what a wretched woman
373,buyuzinha,"“mas e a RETETRETA, quando é que vai TER, amiga?” https://t.co/uSsG3vmoCX",1,"“But what about RETETRETA, when are you going to HAVE, friend?” https://t.co/uSsG3vmoCX"
374,2012_jairo,Eu só queria ser cada dia mais forte...,1,I just wanted to be stronger every day ...
375,sthe_nay,"Hj eu já acordei pedindo o primeiro horário da semana para sobrancelhas, manicure e para cuidar do meu cabelo também kkk",0,"Hj I already woke up asking the first time of the week for eyebrows, manicure and to take care of my hair too kkk"
376,martsjae,"gente sera que o asahi nao tem gay panic?? naquele tmap da escola o jaehyuk quase beijou o pescoço do mlk e ele não se moveu, só ficou sorrindo @treasuremembers",0,"people asahi does not have gay panic ?? in that school tmap jaehyuk almost kissed mlk's neck and he didn't move, he just smiled @treasuremembers"
377,emygrx,acho que vou fazer pipoca de chocolate,0,I think I'm going to make chocolate popcorn
378,KMoraez,"Eu tentando entender minha vida, sendo que ela está indo de água a baixo",0,"Me trying to understand my life, since it’s going from water down"
379,ncpvnk,Eu penso nesse vídeo com muita frequencia https://t.co/GJA14zu0eg,1,I think about this video very often https://t.co/GJA14zu0eg
380,rafaelbttncrt,que rock o que,1,what rock what
381,poxaaa_ca,"em que realidade alternativa alguém acharia q algo assim acontecesse ??? Em nenhuma cara, mas tá acontecendo.",0,"in what alternative reality would anyone think q something like this happened ??? No face, but it's happening."
382,rxgerguedes,lindos https://t.co/gEek39Bdak,0,beautiful https://t.co/gEek39Bdak
383,deryluvz,n tenho https://t.co/ADUxxXmkb0,0,I don't have https://t.co/ADUxxXmkb0
384,Skyeccho_,compraria so pra morrer mais rapido 🥰 https://t.co/CeqbweFSc8,1,would buy just to die faster 🥰 https://t.co/CeqbweFSc8
385,denisrtorres,a maior https://t.co/Fdw7QDEnTw,0,the biggest https://t.co/Fdw7QDEnTw
386,tarjapretaporra,"Providenciei meus óculos de leitura!
To numa alegria esperando chegar.
Ana Kariênina e Riobaldo me aguardem!",1,"I have provided my reading glasses!
I'm in joy waiting to arrive.
Ana Kariênina and Riobaldo await me!"
387,Layllarexl,"Domingão 
Dia de fazer faxina na casa 
Dia de autocuidado também:Hidratar o cabelo,fazer,hidratar a pele,fazer um almocinho 10/10 só pra mim e ouvir toda a discografia do Tyler,the Creator 

Bom dia💕",0,"Domingão
House cleaning day
Self-care day too: Moisturize your hair, make, moisturize your skin, make a 10/10 lunch just for me and listen to all of Tyler's discography, the Creator

Good morning💕"
388,sosawell7777,queria ****** um caminhao d *******,0,wanted ****** a truck d *******
389,ellieonardo,"Gaslindo venceu
puta que me pariu
Pierre Gasly venceu uma corrida de Fórmula 1, não tô acreditando",0,"Gaslindo won
bitch that gave me birth
Pierre Gasly won a Formula 1 race, I can't believe it"
390,00LUXURYY,Odeio que me compara com os outros.,0,I hate that you compare me to others.
391,LaKellytita,"Eu odeio cm eu tenho que tá sempre bem, eu n posso passar mal

Ontem quando a minha irmã passou mal minha mãe cuidou dela 

Eu tô passando mal desde manhã, eu tive que arrumar tudo, fazer almoço e carregar um monte de peso pra no fim eu ser mole e ouvir ""qnd vc casar vc morre""",0,"I hate it I have to be always fine, I can't be sick

Yesterday when my sister was sick my mother took care of her

I've been feeling sick since morning, I had to pack everything, make lunch and carry a lot of weight so that in the end I could be soft and hear ""when you get married you die"""
392,buyuzinha,"meninas pedi 15 esfihas... esfiha agora, esfiha no café da manhã, esfiha no almoço.... https://t.co/Nh9BuJKXVf",1,"girls ordered 15 esfihas ... esfiha now, esfiha for breakfast, esfiha for lunch .... https://t.co/Nh9BuJKXVf"
393,themracle,"they’re so pretty it hurts, i’m not talking 'bout boys i’m talking 'bout girls",1,"they’re so pretty it hurts, i’m not talking 'bout boys i’m talking' bout girls"
394,KMoraez,Baby eu vejo você bem mais que um amigo 🎶🥂,0,Baby I see you much more than a friend 🎶🥂
395,beecIassy,naba cremoso https://t.co/w3rqEwRAR1,0,creamy naba https://t.co/w3rqEwRAR1
396,ccbutterby,Eu ja tinha descido o cacete https://t.co/E9BLPkJWwQ,0,I already had the bludgeon https://t.co/E9BLPkJWwQ
397,2012_jairo,Mas é um caminho que já ñ aguento mais buscar.,1,But it's a path that I can't take anymore.
398,catscorsones,ninguém mais me chama de lex 😭😭😭😭😭,0,nobody else calls me lex 😭😭😭😭😭
399,puppynee,"num dia é o yuta tweetando q vai comer a fã e no outro é o minho comentando q gosta de ser amarrado, q surto é esse?",0,"one day is the yuta tweeting that he is going to eat the fan and the next is my son commenting that he likes to be tied up, is that an outbreak?"
400,sosawell7777,to mei triste mas ngm liga mas qria deixa registrado aqui: estou mei triste,0,I'm kind of sad but nobody cares but I wanted to leave it here: I'm really sad
401,mrcomsts,Égua hj foi firme kkkkkkkk,0,Mare hj was firm kkkkkkkk
402,fuckjxxnny_oh,período fértil pq.......,1,fertile period because .......
403,sosawell7777,sepa só me dando uma facada pra mim sentir algo no dia de hoje,0,sepa just stabbing me to feel something today
404,kataventu,rótulos caixas gavetas gavetinhas no amor pensa se mais pro fim,0,labels boxes drawers drawers in love think more to the end
405,ellieonardo,"A última vez que uma equipe que não seja Red Bull, Ferrari e Mercedes a vencer uma corrida da F1 foi a Lotus de 2013 do Raikkonen, na Austrália. Hoje as três sequer foram ao pódio.
7 ANOS para isso acontecer
melhor GP dos últimos anos, sim https://t.co/fAbFYB0y0j",0,"The last time a team other than Red Bull, Ferrari and Mercedes to win an F1 race was the 2013 Lotus of Raikkonen, Australia. Today the three didn't even make it to the podium.
7 YEARS for this to happen
best GP of recent years, yes https://t.co/fAbFYB0y0j"
406,jorginph,carol is my humana https://t.co/EYn115CYjb,0,carol is my human https://t.co/EYn115CYjb
407,rosastairrs,vamos ver se ela vai me oferecer pipoca análise,0,let's see if she will offer me analysis popcorn
408,Menina7Virtuosa,Ninguém vai tomar posse do que é seu por direito. O que é seu vai chegar na palma de suas mãos!,0,No one will take possession of what is rightfully yours. What's yours will arrive in the palm of your hands!
409,deryluvz,depende do dia https://t.co/B92r6hQh1Z,0,depends on the day https://t.co/B92r6hQh1Z
410,f4bdolphin,"E o Adolfinho faz tudo novamente, eu te amo!
#OQueAVidaMeRoubou101",0,"And Adolfinho does it all again, I love you!
# OQueAVidaMeRoubou101"
411,anapaulaboz,E eu tinha que colocar o goleiro do inter no Cartola,1,And I had to put Inter's goalkeeper in Cartola
412,leonardomikami,cena mais fofa da noite foi ela co meu tenis,1,cutest scene of the night was she with my shoes
413,azevedorar,sair do banho a água tava responsa ✌️🚿,1,get out of the bath the water was responsible ✌️🚿
414,queenyyeri,"Consegui outro escravinho, até áudio latindo ele me manda KKKKKKKKKK otário https://t.co/kuCImOiKpN",1,"I got another slave, even audio barking he sends me KKKKKKKKKK sucker https://t.co/kuCImOiKpN"
415,rammassss,MEU DEUS essa vai ser mais do que lendária https://t.co/8NxuoL4fB9,1,MY GOD this will be more than legendary https://t.co/8NxuoL4fB9
416,srt_gomeees,Tô lindinha hoje 🥰,0,I'm beautiful today 🥰
417,mingyubabie,olha só se não é uma gay branca,0,look if you are not a white gay
418,titiawanne,"eu não vou comentar laços de família, eu só vou dar rt nos meus tweets de 2016 kkk https://t.co/j7xWMpOO3m",0,"I will not comment on family ties, I will only rt my 2016 kkk tweets https://t.co/j7xWMpOO3m"
419,queenyyeri,"Nenhum escravo nojento pra ter o luxo de me ter como rainha deles
KKKKKKKK bando de inúteis, não querem pagar 20 por uma humilhação",1,"No disgusting slaves to have the luxury of having me as their queen
KKKKKKKK useless bunch, don't want to pay 20 for humiliation"
420,silvanay_,que raiva 😭,0,what anger 😭
421,litarib,que ódio que meu açaí veio errado uma hr esperando agr to chorando horrores pq já paguei um absurdo,0,what a hate that my açaí went wrong a hr waiting for agr to crying horrors cuz i already paid absurd
422,urreagolden,aqui sofrendo por um casal que nem é assumido,1,here suffering for a couple that is not even assumed
423,W0NYOUNGlRL,eu desativei a outra enfim,0,I disabled the other anyway
424,iasinhax,como ele disse isso se clarles chaplin nem falavakkkkkkkkkkkkkkkkkkkkkkkkkkk https://t.co/2O18NCHp2K,0,how he said it if charles chaplin didn’t speak kkkkkkkkkkkkkkkkkkkkkkkkkk https://t.co/2O18NCHp2K
425,buyuzinha,"Pedi dois pastéis e um caldo de cana, vocês acreditam na cara de pau do estabelecimento que mandaram o caldo de cana QUENTE???",1,"I asked for two pastries and a cane juice, do you believe in the wooden face of the establishment that sent the HOT cane juice ???"
426,MalheiroReis,"E a pior parte         
 sobre ter que ir ao psicólogo 
           é que você sabe                        que precisa pagar alguém                  para te ouvir, porque ninguém mais quer realmente fazer isso.",0,"And the worst part
 about having to go to the psychologist
           is that you know you need to pay someone to listen to you, because nobody else really wants to do that."
427,mvtxsl,"final de semana tranquilo, ufa😅",0,"quiet weekend, phew😅"
428,euanacsilva,"Mano, os stories do zé neto são os melhores kakakakkakakaka",0,"Mano, the stories of zé neto are the best kakakakakakaka"
429,rafaelbttncrt,"(escrevendo a palestra mais importante da minha vida e) pensando que existe um texto antes e depois do conselho da @_luanadaltro 

rede de apoio é tudo",1,"(writing the most important lecture of my life and) thinking that there is a text before and after the advice of @_luanadaltro

support network is everything"
430,duardokkkjj,preciso de alguém pra jogar minecraft,0,i need someone to play minecraft
431,henriquefobico,1 like e eu desativo até amanhã de manhã,0,1 like and I disable until tomorrow morning
432,rafaelbttncrt,venho por meio deste tweet informá-los que o locals faz o melhor xis vegetariano da cidade,1,I come through this tweet to inform you that the locals make the best vegetarian pies in town
433,W0NYOUNGlRL,tenho que achar o gatinho que representa cheshire,0,I have to find the kitten that represents cheshire
434,mafeph_,Feriado combina cm bolo,0,Holiday matches with cake
435,litarib,eu nunca vou ser ela...,0,I will never be her ...
436,tarjapretaporra,"Minha demissão foi muito traumática.
Não quero mais trabalhar para uma corporação multinacional.",1,"My dismissal was very traumatic.
I don't want to work for a multinational corporation anymore."
437,ggioganja,UN ADIOS PARA MIS VIEJOS MUCHO MIEDO Y MUCHAS GANAS DE PODER VIVIR,1,UN ADIOS PARA MIS VIEJOS MUCHO MIEDO AND MUCHAS GANAS DE POWER
438,ellieonardo,"aí vai tomar no cu bicho, tu sai de uma corrida que quase infartou pra um Bragantino x Palmeiras
é de fuder",0,"then you will take it in the ass, you leave a race that almost infarcted for a Bragantino x Palmeiras
is to fuck"
439,alefrits,"Se ate a posição da lua altera a maré dos oceanos pq o signo nao influenciaria no meu trabalho?? 
(contem ironia)",1,"If even the position of the moon changes the tide of the oceans because the sign would not influence my work ??
(contains irony)"
440,PortalOndreazBR,"Como foi dito será feito! 
Iremos entrar em hiatus! Espero que compreendam! 🙏🏻💔",0,"As said it will be done!
We will go on hiatus! I hope you understand! 🙏🏻💔"
441,lIlIIIlllllIII,teria de novo um https://t.co/FC5juhZz4k,1,would have again https://t.co/FC5juhZz4k
442,odeiobozonaro,“Cirúrgico” ah vai pro caralho,1,"""Surgical"" ah go fuck"
443,oliveiira_jeann,"Eu não resisto, vou ser obrigado a comprar um fardo",0,"I can't resist, I'll be forced to buy a burden"
444,hurtstolivliv,eu não aguento mais ser gorde,0,I can't stand being fat anymore
445,mystickka,me sinto bem sabendo que atraio amigos adultos. pra mim isso ainda é meio....? porque sou tão infantil e mesmo assim tenho um amigo de quase 30 anos e tem um outro homem que as vezes converso com ele e ele é muito querido.,0,I feel good knowing that I attract adult friends. for me is this still kind of ...? because I am so childish and yet I have a friend who is almost 30 years old and has another man who I sometimes talk to and he is very dear.
446,mingyubabie,woozi pinta do cabelo igual o do nishinoya e eu digo se esperava,0,woozi dyes hair like nishinoya and i say if i expected
447,sosawell7777,95% das pessoas que falam p tu que vao ta smp ali pra conversa mimimimi elas nunca vão ta,0,95% of the people who talk to you who go ta smp over there to talk mimimimi they never go ta
448,GaOliLu25,Pq homem gosta de tirar foto com pose de segurança de balada ?,1,Why does a man like to take a photo with a ballad security pose?
449,azevedorar,"quando eu ia na casa da Clau era mais ou menos assim
eu com a Vênus  
https://t.co/TTQkUH72Sr",1,"when I went to Clau's house it was something like this
me with Venus
https://t.co/TTQkUH72Sr"
450,maldcarol,minha unha ta uma merda,1,my nail is shit
451,qualquerdanilo,danilo vc tem barriguinha? — tenho https://t.co/to5DsUmcET,0,danilo do you have a tummy? - I have https://t.co/to5DsUmcET
452,azevedorar,"diagnosticado com depressão desde os 16
Se vier otario forçar a barra por causa do mês “setembro amarelo” enfia no cu vocês não ligam pra vida nenhuma, pq amanha tá xingando meio mundo aí 
Bando de arrombado",1,"diagnosed with depression since he was 16
If a sucker comes to force the bar because of the month ""yellow September"" shove it up your ass, you don't care about life, because tomorrow you're cursing half the world there
Bunch of broken-in"
453,Carolina_aaaaaa,Odeio ser alérgica a morango saco,0,I hate being allergic to strawberry bag
454,marilia1808,eu to mt triste por favor alguem cuida do cariok https://t.co/Wc3ESOaEBl,0,I'm so sad please someone takes care of cariok https://t.co/Wc3ESOaEBl
455,GaOliLu25,Se tem uma coisa que me deixa puta é gente que fal que tem depressão pq ficou triste por uma semana ou diz que tem depressão sem nunca nem ter ido diagnosticado na moral eu tenho vontade de meter a porrada,1,"If there's one thing that makes me pissed off, it's people who say they have depression because they were sad for a week or say they have depression without ever having been diagnosed in morals, I want to take a beating"
456,a_fckdreamers,"o jaden real está com essa garota? eu jurava que a foto não era atual, parece com qualquer uma q ele pegou antes",0,"is the real jaden with this girl? I swore that the photo was not current, it looks like any one he took before"
457,SuelenSoaresss,Tmnc 2 horas pra fazer um prato,0,Tmnc 2 hours to make a dish
458,euiasmimlima,"Cantar o Hino nacional em formatura on-line é o auge da derrota , obrigada corona por me proporcionar isso viu",0,"Singing the national anthem at online graduation is the pinnacle of defeat, thanks corona for providing me with that."
459,Carolina_aaaaaa,"Toda machucada, roxa, queimada de limão!
Grande final de semana",0,"All bruised, purple, burnt from lemon!
Great weekend"
460,rosastairrs,eu vou é ler os dois ao mesmo tempo lenda faz assim,0,I'll is to read both at the same time legend does so
461,CrazyGabiNeves,"O jovem adolescente como eu já disse antes nesse site, precisa urgentemente começar a não repetir discursinho pronto da internet. Você tem uma cérebro na cabeça pra que?",0,"The young teenager, as I said before on this website, urgently needs to start not repeating a ready speech from the internet. What do you have a brain for?"
462,marquesdana1,"ops, I did it again... lendo YA e chick lit como coping mechanisms 🥴",0,"ops, I did it again ... reading YA and chick lit as coping mechanisms 🥴"
463,rammassss,amém 😭😭😭💗💗🤧❤️❤️❤️ https://t.co/twt86IUYos,1,Amen 😭😭😭💗💗🤧❤️❤️❤️ https://t.co/twt86IUYos
464,mafeph_,"Céu tão azul, ilhas do sul
E o barquinho, coração
Deslizando na canção",0,"So blue sky, southern islands
And the boat, heart
Slipping in the song"
465,lovatoandjonas,Ao Governo do Mato Grosso do Sul: Queimas no Pantanal - Assine a petição! https://t.co/gHzK9dwrzn via @change_br,0,To the Government of Mato Grosso do Sul: Burning in the Pantanal - Sign the petition! https://t.co/gHzK9dwrzn via @change_br
466,marquesdana1,lendo um livro atrás do outro será se irei me arrepender quando tiver lido tudo?,0,reading one book after another will it be if I will regret it when I have read everything?
467,haechanvoir,me sinto sozinho sem a cecília,1,I feel alone without Cecilia
468,rafaelbttncrt,"desgraçaram minha cabeça e perspectiva de futuro numa call e eu só consigo pensar em ver série o resto do dia

fé",1,"my head and future prospects were disgraced in a call and I can only think of watching series for the rest of the day

faith"
469,euanacsilva,"Box no banheiro é bom, só é ruim na hora de depilar a perna",0,"Boxing in the bathroom is good, it's only bad when it's time to shave your leg"
470,sweetnesslau,atlético: de madrid https://t.co/IYHR6c5wbt,0,athletic: de madrid https://t.co/IYHR6c5wbt
471,stitchtali,"e eu que tava com o dinheiro contato pro subway que eu tava morrendo de vontade de comer né, daí fui comer mordi a primeira vez nossa até gemi uma delícia fui morder a segunda caiu no chão o lanche no meio do shopping chorei igual criança e tô aqui com fome",0,"and I was with the money, contact the subway, I was dying to eat, right, so I went to eat the first time we bite until we groaned a delight I went to bite the second one fell on the floor the snack in the middle of the mall I cried like a child and I'm here hungry"
472,anapaulaboz,"Segunda: chuva, tempo feio, eu não me sentindo bem, oficialmente ficar na cama o dia todo",1,"Monday: rain, ugly weather, I don't feel well, officially stay in bed all day"
473,ccbutterby,"É importante ter noção de toda a história (e sem romantizaçao dos fatos) por trás de várias datas históricas e comemorativas? Sim
Precisa ser pau no cu toda data comemorativa/feriado de todo ano porq você quer pagar de sabe-tudo descontruido? Não",0,"Is it important to be aware of the whole history (and without romanticizing the facts) behind various historical and commemorative dates? Yes
You need to be a stick in the ass every holiday / holiday of every year because you want to pay for casual fun? No"
474,mingyubabie,gente que vídeo pavoroso https://t.co/Npg5Fo8YtX,0,people that terrible video https://t.co/Npg5Fo8YtX
475,stitchtali,nossa eu tenho um nude meu aqui sensacional o mundo deveria apreciar,0,wow i have a nude of me here sensational the world should appreciate
476,ipameladuart,meu deus SIM!!! eu sou exatamente assim. https://t.co/l38uL2KlBq,1,my god YES !!! I am exactly like that. https://t.co/l38uL2KlBq
477,waIIowsflower,"iai mainha fica: quando eu tive depressão eu fui pra igreja, fiz as coisas a pulso e passou MAS PORRA EU NÃO SOU A SENHORA EU NÃO TENHO COMO SER ASSIM",1,"iai mainha is: when i had depression i went to church, i did things on the pulse and it passed"
